count,classification,year
1,Class C,1905
1,Class A,1921
1,Class B,1925
1,Class B,1926
1,Class B,1930
1,Class B,1932
1,Class A,1937
1,Class B,1938
1,Class A,1941
1,Class B,1942
1,Class B,1943
1,Class B,1944
1,Class A,1944
1,Class A,1947
1,Class A,1948
1,Class B,1948
1,Class B,1949
1,Class A,1949
3,Class A,1950
2,Class B,1950
1,Class A,1952
2,Class A,1953
1,Class B,1954
1,Class B,1955
2,Class A,1955
1,Class B,1956
3,Class A,1956
4,Class A,1957
3,Class A,1958
2,Class B,1958
1,Class B,1959
2,Class B,1960
4,Class A,1960
5,Class A,1961
4,Class B,1961
5,Class A,1962
1,Class B,1962
8,Class A,1963
5,Class B,1963
5,Class B,1964
3,Class A,1964
2,Class B,1965
6,Class A,1965
5,Class A,1966
3,Class B,1966
4,Class B,1967
10,Class A,1967
7,Class B,1968
1,Class C,1968
4,Class A,1968
14,Class A,1969
6,Class B,1969
16,Class A,1970
18,Class B,1970
1,Class C,1970
15,Class A,1971
8,Class B,1971
22,Class A,1972
12,Class B,1972
1,Class C,1972
8,Class B,1973
23,Class A,1973
1,Class C,1973
16,Class B,1974
24,Class A,1974
21,Class B,1975
27,Class A,1975
2,Class C,1975
28,Class A,1976
17,Class B,1976
28,Class B,1977
44,Class A,1977
34,Class B,1978
54,Class A,1978
17,Class B,1979
36,Class A,1979
47,Class A,1980
3,Class C,1980
27,Class B,1980
2,Class C,1981
24,Class A,1981
22,Class B,1981
1,Class C,1982
35,Class A,1982
21,Class B,1982
30,Class A,1983
2,Class C,1983
18,Class B,1983
16,Class B,1984
26,Class A,1984
1,Class C,1984
21,Class A,1985
19,Class B,1985
29,Class A,1986
23,Class B,1986
16,Class B,1987
26,Class A,1987
1,Class C,1988
15,Class B,1988
18,Class A,1988
21,Class B,1989
1,Class C,1989
15,Class A,1989
15,Class B,1990
25,Class A,1990
32,Class A,1991
14,Class B,1991
13,Class B,1992
20,Class A,1992
34,Class A,1993
15,Class B,1993
25,Class B,1994
36,Class A,1994
1,Class C,1995
25,Class B,1995
25,Class A,1995
22,Class B,1996
36,Class A,1996
52,Class A,1997
36,Class B,1997
52,Class A,1998
41,Class B,1998
2,Class C,1999
30,Class A,1999
35,Class B,1999
71,Class B,2000
78,Class A,2000
1,Class C,2000
62,Class A,2001
81,Class B,2001
60,Class A,2002
49,Class B,2002
88,Class A,2003
68,Class B,2003
139,Class A,2004
108,Class B,2004
121,Class B,2005
94,Class A,2005
116,Class B,2006
62,Class A,2006
84,Class B,2007
62,Class A,2007
55,Class A,2008
90,Class B,2008
69,Class B,2009
54,Class A,2009
66,Class B,2010
40,Class A,2010
73,Class B,2011
48,Class A,2011
52,Class A,2012
101,Class B,2012
39,Class A,2013
86,Class B,2013
39,Class A,2014
64,Class B,2014
31,Class A,2015
51,Class B,2015
17,Class A,2016
37,Class B,2016
21,Class A,2017
34,Class B,2017
24,Class B,2018
10,Class A,2018
